"Collecteur","N°Famille","Famille","N°Genre","N°Espèce","Genre","Espèce","date récolte","Auteur","N° scan","Subsp.","Nb spécimens","Partie conservée","Intégrité","Etat","Dpt","Nom Dpt","Commune","Lieu dit","Lieu récolte","Habitat","remarques","remarques perso","Nom latin"
"Diard",7,"Aspleniaceae",10,38,"Asplenium","marinum","19/04/1889","L.","0038_(2)__DIARD",,2,"feuilles + infrutescence","complet","TB",44,"Loire-Atlantique","Pornic",,"près de Pornic",,,,"Asplenium marinum L."
"Diard",7,"Aspleniaceae",10,39,"Asplenium","ruta-muraria","28/04/1867","L.","0039_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Nantes","Cité des Dervallières","Les Dervallières",,,,"Asplenium ruta-muraria L."
"Diard",7,"Aspleniaceae",10,40,"Asplenium","adiantum-nigrum","21/05/1866","L.","0040_DIARD",,5,"plante entière + feuilles","complet","B",44,"Loire-Atlantique","Donges",,"Donges",,,,"Asplenium adiantum-nigrum L."
"Diard",7,"Aspleniaceae",10,41,"Asplenium","billoti","14/05/1871"," F.W. Schultz","0041_(1)_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Mauves-sur-Loire",,"Mauves",,"Asplenium lanceolatum",,"Asplenium billoti  F.W. Schultz"
"Diard",7,"Aspleniaceae",10,41,"Asplenium","billoti","23/07/1871"," F.W. Schultz","0041_(2)_DIARD",,1,"plante entière","complet","B",44,"Loire-Atlantique","Chateauthébaud",,"Côteaux de Château Thébaud",,"Asplenium lanceolatum",,"Asplenium billoti  F.W. Schultz"
"Diard",7,"Aspleniaceae",11,42,"Phyllitis","scolopendrium","07/06/1868","(L.) Newman","0042_DIARD",,4,"plante entière","complet","B",44,"Loire-Atlantique","Machecoul",,"Machecoul",,"Scolopendrium officinale",,"Phyllitis scolopendrium (L.) Newman"
"Diard",7,"Polypodiaceae",13,44,"Polypodium","vulgare","03/08/1870","L.","0044_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Nantes",,"Nantes",,,,"Polypodium vulgare L."
"Diard",8,"Marsileaceae",1,45,"Marsilea","quadrifoliata","30/06/1872","L.","0045_(2)_DIARD",,4,"plante entière sans infrutescence","complet","B",44,"Loire Atlantique","Ancenis","Anetz","Anetz",,,,"Marsilea quadrifoliata L."
"Diard",8,"Marsileaceae",1,45,"Marsilea","quadrifoliata","08/1869","L.","0045_(1)_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Nantes","Prairie de Mauves","Prairie de mauves près le Grand-Blottereau ",,,"Utilisation muséographique:  Atout Sud, 27/03/08","Marsilea quadrifoliata L."
"Diard",8,"Marsileaceae",2,46,"Pilularia","globulifera","09/1871","L.","0046_(1)_DIARD",,">8","plante entière","complet","M",44,"Loire-Atlantique","Bouguenais","Les Couets","Près les Couëts",,,,"Pilularia globulifera L."
"Diard",8,"Marsileaceae",2,46,"Pilularia","globulifera","07/09/1872","L.","0046_(2)_DIARD",,2,"plante entière","complet","M",44,"Loire-Atlantique","La Chapelle-sur-Erdre",,"La Verrière",,,,"Pilularia globulifera L."
"Diard",8,"Marsileaceae",2,46,"Pilularia","globulifera","27/07/1873","L.","0046_(3)_DIARD",,1,"plante entière","complet","B",44,"Loire-Atlantique","Le Pellerin",,"Le Pellerin",,,,"Pilularia globulifera L."
