"Collecteur","N°Famille","Famille","N°Genre","N°Espèce","Genre","Espèce","date récolte","Auteur","N° scan","Subsp.","Nb spécimens","Partie conservée","Intégrité","Etat","Dpt","Nom Dpt","Commune","Lieu dit","Lieu récolte","Habitat","remarques","remarques perso","Nom latin"
"Diard",98,"Scrofulariaceae",2,929,"Antirrhinum","orontium","11/06/1868","L.","0929_DIARD",,4,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Carquefou","Gachet","Marais de Gachet",,"Anthirrinum orontium",,"Antirrhinum orontium L."
"Diard",98,"Scrofulariaceae",3,931,"Linaria","cymbalaria","07/05/1865","(L.) Miller","0931_DIARD",,4,"plante entière + tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Nantes","La Morinière","La Morinière",,,,"Linaria cymbalaria (L.) Miller"
"Diard",98,"Scrofulariaceae",3,932,"Linaria","spuria","25/06/1871 / 30/06/1871 / 27/08/1871","(L.) Miller","0932_DIARD",,4,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Les Moutiers / Ancenis / Campbon",,"Près les Moutiers / Près Ancenis / Cambon",,,"les collectes sont confondues sur la même part","Linaria spuria (L.) Miller"
"Diard",98,"Scrofulariaceae",3,933,"Linaria","elatine","23/08/1868","(L.) Miller","0933_DIARD",,1,"plante entière + infrutescence","complet","B",44,"Loire-Atlantique","Nantes","La Jonelière","La Jonnelière",,,,"Linaria elatine (L.) miller"
"Diard",98,"Scrofulariaceae",3,934,"Linaria","commutata","02/06/1880 / 03/06/1880","Bernh.","0934_(1)_DIARD",,11,"plante entière + inflorescence","complet","B",56,"Morbihan","Bangor (Belle-Ile) / Locmaria (Belle-Ile)","Port Kerel / Port Andro","Port Kerel à Belle-Ile /  Port Andro à Belle-Ile",,,"les collectes sont confondues sur la même part","Linaria commutata Bernh."
"Diard",98,"Scrofulariaceae",3,935,"Linaria","vulgaris","09/07/1865","Miller","0935_DIARD",,3,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,,"Linaria vulgaris Miller"
"Diard",98,"Scrofulariaceae",3,936,"Linaria","supina","07/06/1868","(L.) Chaz.","0936_DIARD",,5,"tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Machecoul",,"Machecoul",,,,"Linaria supina (L.) Chaz."
"Diard",98,"Scrofulariaceae",3,937,"Linaria","striata","11/06/1865","DC.","0937_DIARD",,2,"tige + inflorescence","complet","B",44,"Loire-Atlantique","Carquefou",,"Carquefou",,,,"Linaria striata DC."
"Diard",98,"Scrofulariaceae",3,938,"Linaria","arenaria","29/05/1870","DC.","0938_DIARD",,11,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","St Brevin","Mindin","Mindin",,,,"Linaria arenaria DC."
"Figureau",98,"Scrofulariaceae",3,938,"Linaria","arenaria",09/05/1980,"DC.","0938_FIGUREAU",,9,"plante entière + inflorescence","complet","TB",44,"Loire-Atlantique","La Turballe",,"La Turballe VVF (44)","Sables maritimes",,,"Linaria arenaria DC."
"Diard",98,"Scrofulariaceae",3,940,"Linaria","pelliceriana","20/05/1872","(L.) Miller","0940_(1)_DIARD_1 ; 0940_(1)_DIARD_2",,22,"plante entière + inflorescence","complet","B",44,"Loire-Atlantique","Guérande",,"Guérande",,,"les spécimens sont distribués sur 2 feuillets","Linaria pellisseriana (L.) Miller"
"Diard",98,"Scrofulariaceae",3,940,"Linaria","pelliceriana","28/05/1876","(L.) Miller","0940_(2)_DIARD",,1,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","La Roche-Blanche","Pied Bercy","Rochers de Pubercy près Ancenis",,,,"Linaria pelliceriana (L.) Miller"
"Diard",98,"Scrofulariaceae",3,940,"Linaria","pelliceriana","02/06/1880","(L.) Miller","0940_(3)_DIARD",,1,"plante entière + inflorescence + infrutescence","complet","B",56,"Morbihan","Bangor (Belle-Ile)","Port Kerel","Port Kerel à Belle-Ile",,,,"Linaria pelliceriana (L.) Miller"
"Diard",98,"Scrofulariaceae",3,941,"Chaenorrhinum","minus","09/08/1869","(L.) Lange","0941_DIARD",,1,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire Atlantique","La Varenne",,"La Varenne",,,,"Linaria minor (L.) Desf."
"Diard",98,"Scrofulariaceae",5,942,"Scrofularia","nodosa","07/1867","L.","0942_DIARD",,1,"tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Rezé",,"Rezé",,,,"Scrofularia nodosa L."
"Diard",98,"Scrofulariaceae",5,943,"Scrofularia","aquatica","09/07/1865","L.","0943_DIARD",,2,"tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,,"Scrofularia aquatica L."
"Diard",98,"Scrofulariaceae",5,944,"Scrofularia","scorodonia","04/06/1871","L.","0944_(1)_DIARD",,3,"tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Indre","Basse Indre","Basse-Indre",,,"ABSENT DE L'HERBIER: annotation ""952, Atout Sud, 28/03/08""","Scrofularia scorodonia L."
"Diard",98,"Scrofulariaceae",5,944,"Scrofularia","scorodonia","01/06/1874","L.","0944_(2)_DIARD",,1,"tige + inflorescence","complet","B",85,"Vendée","Noirmoutier en l'Ile (Ile de Noirmoutier)","Bois de la Chaise","Bois de la Chaise à Noirmoutier",,,,"Scrofularia scorodonia L."
"Diard",98,"Scrofulariaceae",5,947,"Scrofularia","canina","24/05/1868","L.","0947_(1)_DIARD",,3,"plante entière + partie aérienne + tige + inflorescence + infrutescence","complet","B",49,"Maine-et-Loire","Liré","Les Fourneaux","Le Fourneau près de Lyré",,,,"Scrofularia canina L."
"Diard",98,"Scrofulariaceae",5,947,"Scrofularia","canina","29/05/1871","L.","0947_(2)_DIARD_1 ; 0947_(2)_DIARD_2 ; 0947_(2)_DIARD_3",,4,"partie aérienne + tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Le Cellier","Clermont-sur-Loire","Bord de la Loire près de la Gare de Clermont",,,"les spécimens sont distribués sur 3 feuillets","Scrofularia canina L."
"Diard",98,"Scrofulariaceae",7,950,"Limosella","aquatica","13/09/1868","L.","0950_(1)_DIARD",,5,"plante entière sans inflorescence","complet","B",44,"Loire-Atlantique","Rezé","La Haute Ile","La Haute-Ile, bord de Loire",,,,"Limosella aquatica L."
"Diard",98,"Scrofulariaceae",7,950,"Limosella","aquatica",25/09/1957,"L.","0950_(2)_DES_ABBAYES",,1,"plante entière sans inflorescence","complet","M",44,"Loire Atlantique","Thouaré-sur-Loire",,"Bord de la Loire, Pont de Thouaré",,"Donnée au Jardin Botanique par Mr Des Abbayes",,"Limosella aquatica L."
"Diard",98,"Scrofulariaceae",8,951,"Gratiola","officinalis","24/05/1868","L.","0951_DIARD",,6,"tige + feuilles + inflorescence","complet","B",49,"Maine-et-Loire","Liré",,"Lyré",,,,"Gratiola officinalis L."
"Diard",98,"Scrofulariaceae",9,952,"Lindernia","pyxidaria","02/08/1869","All.","0952_DIARD",,5,"plante entière","complet;incomplet","B",44,"Loire-Atlantique","Rezé","Trentemoult","Trentemoult",,,"ABSENT DE L'HERBIER: annotation ""972, Atout Sud, 28/03/08""","Lindernia pyxidaria All."
"Diard",98,"Scrofulariaceae",10,"953 bis","Ilysanthes","gratioloides","09/08/1868","(L.) Benth.","0953_bis_DIARD",,7,"plante entière","complet","B",44,"Loire-Atlantique","Rezé","Trentemoult","Trentemoult",,,,"Ilysanthes gratioloides (L.) Benth."
"Diard",98,"Scrofulariaceae",11,954,"Sibthorpia","europæa","01/08/1872","L.","0954_(1)_DIARD",,11,"plante entière sans infrutescence","complet","M",44,"Loire-Atlantique","Orvault","Pont Marchand","Pont Marchand, près Orvault",,,,"Sibthorpia europæa L."
"Diard",98,"Scrofulariaceae",11,954,"Sibthorpia","europæa","06/08/1871","L.","0954_(2)_DIARD",,2,"racine + tige + feuilles","complet","Ma",44,"Loire-Atlantique","St-Herblain","La Morlière","La Morlière, route de Vannes",,,,"Sibthorpia europæa L."
"Diard",98,"Scrofulariaceae",12,955,"Veronica","hederifolia","15/04/1866","L.","0955_DIARD",,2,"plante entière","complet","B",85,"Vendée","Tiffauges","St Lazare","St Lazare",,,,"Veronica hederifolia L."
"Diard",98,"Scrofulariaceae",12,956,"Veronica","persica","05/1869","Poir.","0956_DIARD",,1,"plante entière","incomplet","B",44,"Loire-Atlantique","Nantes",,"Nantes",,"Veronica buxbaumii",,"Veronica persica Poir."
"Diard",98,"Scrofulariaceae",12,958,"Veronica","polita","15/04/1866","Fr.","0958_DIARD",,1,"plante entière","complet","M",85,"Vendée","Tiffauges","St Lazare","St Lazare",,,,"Veronica polita Fr."
"Diard",98,"Scrofulariaceae",12,959,"Veronica","agrestis","15/04/1866","L.","0959_DIARD",,2,"plante entière","complet","M",85,"Vendée","Tiffauges","St Lazare","St Lazare",,,,"Veronica agrestis L."
"Diard",98,"Scrofulariaceae",12,960,"Veronica","arvensis","15/04/1866","L.","0960_DIARD",,2,"plante entière sans infrutescence","complet","B",85,"Vendée","Tiffauges","St Lazare","St Lazare",,,,"Veronica arvensis L."
"Diard",98,"Scrofulariaceae",12,962,"Veronica","acinifolia","15/04/1866","L.","0962_DIARD",,2,"plante entière","complet","M",85,"Vendée","Tiffauges","St Lazare","St Lazare",,,,"Veronica acinifolia L."
"Diard",98,"Scrofulariaceae",12,964,"Veronica","serpyllifolia","15/04/1865","L.","0964_DIARD",,4,"plante entière","complet","B",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,,,"Veronica serpyllifolia L."
"Diard",98,"Scrofulariaceae",12,965,"Veronica","spicata","27/07/1873","L.","0965_DIARD",,4,"plante entière sans  infrutescence","complet","B",77,"Seine-et-Marne","Fontainebleau",,"Forêt de Fontainebleau",,,,"Veronica spicata L."
"Figureau",98,"Scrofulariaceae",12,"966 bis","Veronica","teucrium",05/05/1979,"L.","0966_bis_FIGUREAU","var. bastardii (Bor.) Franch.",5,"partie aérienne + inflorescence","complet","TB",49,"Maine-et-Loire","Monjean-sur-Loire","Chateaupanne",,"Pelouses calcaires",,"couleurs excellentes !","Veronica teucrium L. var. Bastardii (Bor.) Franch."
"Diard",98,"Scrofulariaceae",12,966,"Veronica","teucrium","06/05/1866","L.","0966_DIARD",,12,"plante entière sans infrutescence","complet","B",49,"Maine-et-Loire","Liré","Les Fourneaux","Le Fourneau près de Lyré",,,,"Veronica teucrium L."
"Figureau",98,"Scrofulariaceae",12,966,"Veronica","teucrium",20/05/1975,"L.","0966_FIGUREAU",,15,"plante entière + inflorescence + infrutescence","complet","TB",85,"Vendée","Olonne-sur-Mer","Les Granges","Les Granges en Brétignolles-sur-Mer","Dunes fixées, pelouses",,"couleurs excellentes !","Veronica teucrium L."
"Diard",98,"Scrofulariaceae",12,967,"Veronica","chamædrys","07/05/1865","L.","0967_DIARD",,3,"plante entière","complet","B",44,"Loire-Atlantique","Nantes",,"Chemin de Vertou",,"Veronica chamedrys",,"Veronica chamædrys L."
"Diard",98,"Scrofulariaceae",12,968,"Veronica","montana","22/05/1870","L.","0968_DIARD_1 ; 0968_DIARD_2",,13,"plante entière","complet","B",44,"Loire-Atlantique","Les Sorinières","La Maillardière","La Maillardière",,,,"Veronica montana L."
"Diard",98,"Scrofulariaceae",12,969,"Veronica","officinalis","07/05/1865","L.","0969_DIARD",,3,"plante entière","complet","B",44,"Loire-Atlantique","Nantes",,"Chemin de Vertou",,,,"Veronica officinalis L."
"Diard",98,"Scrofulariaceae",12,971,"Veronica","scutellata","05/06/1865","L.","0971_DIARD",,1,"plante entière sans infrutescence","complet","TB",44,"Loire-Atlantique","La Chapelle-sur-Erdre","Marais de la Verrière","Baie de la Verrière",,,,"Veronica scutellata L."
"Diard",98,"Scrofulariaceae",12,972,"Veronica","anagallis","28/05/1865","L.","0972_DIARD",,1,"tige + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Couëron",,"Couëron",,,"utilisation muséographique: Atout Sud, 28/03/08","Veronica anagallis L."
"Diard",98,"Scrofulariaceae",12,974,"Veronica","beccabunga","23/07/1865","L.","0974_DIARD",,6,"plante entière","complet","M",44,"Loire-Atlantique","Ancenis",,"Ancenis",,,,"Veronica beccabunga L."
"Diard",98,"Scrofulariaceae",13,975,"Digitalis","purpurea","14/05/1865","L.","0975_DIARD",,1,"plante entière sans infrutescence","incomplet","M",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,,"le spécimen est en 3 parties","Digitalis purpurea L."
"Diard",98,"Scrofulariaceae",14,976,"Melampyrum","pratense","14/05/1865","L.","0976_DIARD",,3,"plante entière sans infrutescence","complet","B",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,,,"Melampyrum pratense L."
"Diard",98,"Scrofulariaceae",14,977,"Melampyrum","cristatum","21/05/1865","L.","0977_DIARD",,4,"tige + feuilles + inflorescence","complet","M",44,"Loire-Atlantique","La-Chapelle-Heulin","Les Cléons","Les Cléons",,,,"Melampyrum cristatum L."
"Diard",98,"Scrofulariaceae",14,978,"Melampyrum","arvense","11/06/1876","L.","0978_DIARD",,4,"plante entière sans infrutescence","complet","M",85,"Vendée","Chaillé-les-Marais",,"Chaillé les Marais",,,"les spécimens sont en 7 parties","Melampyrum arvense L."
"Diard",98,"Scrofulariaceae",15,979,"Rhinanthus","alectorolophus","23/05/1875","Poll.","0979_DIARD",,2,"tige + feuilles + inflorescence","complet","M",44,"Loire-Atlantique","Carquefou","Gachet","Environs de Gachet",,"Rhinanthus hirsutus Lam.",,"Rhinanthus alectorolophus Poll."
"Figureau",98,"Scrofulariaceae",15,980,"Rhinanthus","minor","15/05/1874","Ehrh.","0980_FIGUREAU",,2,"plante entière","complet","B",85,"Vendée","Cézais","La Galanderie","Ferme de la Galandrie, en Bourgséguin (85)","Prés légèrement ombrés sous les Châtaigniers",,,"Rhinanthus minor Ehrh."
"Diard",98,"Scrofulariaceae",15,981,"Rhinanthus","major","14/05/1865","Ehrh.","0981_DIARD",,2,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,,,"Rhinanthus major Ehrh."
"Figureau",98,"Scrofulariaceae",16,986,"Euphrasia","tetraquetra",27/06/1978,"Arr.","0986_FIGUREAU",,4,"plante entière","complet","B",56,"Morbihan","(Belle-Ile)",,"Grande Plage, Belle-Ile","Dunes fixées",,,"Euphrasia tetraquetra Arr."
"Diard",98,"Scrofulariaceae",16,987,"Euphrasia","montana","14/05/1865","Jord.","0987_DIARD",,3,"plante entière sans infrutescence","complet","B",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,"Euphrasia officinalis",,"Euphrasia montana Jord."
"Diard",98,"Scrofulariaceae",16,990,"Parentucellia","viscosa","11/06/1865","(L.) Caruel","0990_DIARD",,1,"plante entière + inflorescence + infrutescence","complet","M",44,"Loire-Atlantique","Carquefou","Gachet","Marais de Gachet",,,,"Euphragia viscosa (L.) Benth."
"Diard",98,"Scrofulariaceae",17,989,"Odontites","verna","20/06/1869","(Bell.) Dum.","0989_DIARD",,2,"plante entière","incomplet","B",44,"Loire-Atlantique","Arthon-en-Retz",,"Arthon",,,,"Odontites verna (Bell.) Dum."
"Diard",98,"Scrofulariaceae",17,"989 ter","Odontites","verna","20/08/1871","(Bell.) Dum. ","0989_ter_(1)_DIARD","serotina (Wettst.) E.F. Warb.",1,"plante entière sans infrutescence","complet","B",44,"Loire-Atlantique","Pornic",,"Pornic",,"Odontites serotina Reich.",,"Odontites verna (Bell.) Dum. subsp. serotina (Wettst.) E.F. Warb."
"Diard",98,"Scrofulariaceae",17,"989 ter","Odontites","verna","05/09/1877","(Bell.) Dum. ","0989_ter_(2)_DIARD_1 ; 0989_ter_(2)_DIARD_2","serotina (Wettst.) E.F. Warb.",3,"plante entière + inflorescence + infrutescence","complet","B",44,"Loire-Atlantique","Le Cellier","Clermont-sur-Loire","Clermont",,,"les spécimens sont distribués sur 2 feuillets","Odontites divergens Jord."
"?Diard",98,"Scrofulariaceae",17,989,"Odontites","verna",16/10/1941,"(Bell.) Dum.","0989_XX",,2,"plante entière sans inflorescence","incomplet","B",44,"Loire-Atlantique","Nantes","Le Grand Blottereau","Le Grand Blottereau, travaux de la voie ferrée",,"Odontites rubra G.G. syn Odontites verna Reich.",,"Odontites verna (Bell.) Dum."
"Diard",98,"Scrofulariaceae",17,,"Odontites","lutea","20/08/1875","L.","XX_0053_DIARD",,1,"plante entière + inflorescence + infrutescence","complet","M",79,"Deux-Sèvres",,,"Mauzé (Deux-Sèvres)",,"Mr Lloyd _ non trouvée dans la flore",,"Odontites lutea L."
"Diard",98,"Scrofulariaceae",19,992,"Bellardia","trixago","02/06/1880","(L.) All.","0992_DIARD",,8,"plante entière sans infrutescence","complet","M",56,"Morbihan","Bangor (Belle-Ile)","Port Kerel","Port Kerel à Belle-Ile",,"Bartsia bicolor DC.",,"Bellardia trixago (L.) All."
"Figureau",98,"Scrofulariaceae",19,992,"Bellardia","trixago",22/06/1978,"(L.) All.","0992_FIGUREAU",,4,"plante entière sans infrutescence","complet","M",56,"Morbihan","(Belle-Ile)",,"Pte du Gros Cote N et O _ Belle-Ile","Dunes fixées",,,"Bellardia trixago (L.) All."
"Diard",98,"Scrofulariaceae",20,993,"Pedicularis","palustris","05/06/1865","L.","0993_DIARD",,2,"plante entière sans racine","complet","B",44,"Loire-Atlantique","La Chapelle-sur-Erdre","Marais de la Verrière","Baie de la Verrière",,,,"Pedicularis palustris L."
"Diard",98,"Scrofulariaceae",20,994,"Pedicularis","sylvatica","23/04/1865","L.","0994_DIARD",,3,"plante entière sans infrutescence","complet","B",44,"Loire-Atlantique","Nantes","Cité des Dervallières","Les Dervallières",,,,"Pedicularis sylvatica L."
"Figureau",98,"Scrofulariaceae",20,994,"Pedicularis","sylvatica",08/05/1973,"L.","0994_FIGUREAU",,5,"plante entière sans infrutescence","complet","B",44,"Loire-Atlantique","Carquefou","La Seilleraye","La Seilleraie",,,,"Pedicularis sylvatica L."
"Diard",98,"Scrofulariaceae",,,"Freylinia","cestroides",nov.-37,,"XX_0054_XX",,1,"tige + inflorescence","complet","B",,,,,,,"rare","non trouvée dans la flore ; quelques feuilles sont séparées du spécimen","Freylinia cestroïdes"
"Diard",99,"Orobanchaceae",1,995,"Lathræa","clandestina","15/04/1866","L.","0995_DIARD",,4,"tige + inflorescence","complet","M",44,"Loire-Atlantique","Nantes","Pont du Cens","Pont du Cens",,,,"Lathræa clandestina L."
"Diard",99,"Orobanchaceae",2,997,"Phelipæa","ramosa","15/08/1879","(L.) Meyer","0997_DIARD",,9,"plante entière + inflorescence + infrutescence","complet;débris","B",44,"Loire-Atlantique","Nantes",,"Prairie au Duc, Nantes",,"Orobranche ramosa L.","quelques fragments sont mis sous pli","Phelipæa ramosa (L.) Meyer"
"Diard",99,"Orobanchaceae",3,,"Orobranche","teucrii","10/06/1876","Holandre","XX_0055_DIARD_1 ; XX_0055_DIARD_2",,5,"plante entière sans infrutescence","débris","M",85,"Vendée","Ste-Gemme-la-Plaine","Forêt de Ste-Gemme","Forêt de Ste Gemme",,"Orobranche teucrii Holl.","non trouvée dans la flore ; quelques fragments sont mis sou pli.","Orobranche teucrii Holandre"
"Diard",99,"Orobanchaceae",3,999,"Orobranche","rapum-genistæ","05/1869","Thuill.","0999_DIARD",,2,"tige + inflorescence","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,"Orobranche rapum",,"Orobranche rapum-genistæ Thuill."
"Diard",99,"Orobanchaceae",3,1000,"Orobranche","gracilis","02/06/1873","Smith","1000_DIARD",,1,"plante entière","complet","B",75,"Ile de France","Paris","Bois de Boulogne","Bois de Boulogne",,"Orobranche cruenta Bert.","décapitée","Orobranche gracilis Smith"
"Diard",99,"Orobanchaceae",3,1002,"Orobranche","caryophyllacea","17/05/1869","Smith","1002_DIARD",,2,"tige + inflorescence","complet","M",44,"Loire-Atlantique","St Nazaire",,"St Nazaire",,"Orobranche galii",,"Orobranche caryophyllacea Smith"
"Diard",99,"Orobanchaceae",3,1003,"Orobranche","hederæ","01/06/1868","Duby","1003_DIARD",,5,"plante entière","complet","B",44,"Loire-Atlantique","La-Chapelle-Heulin","Les Cléons","Les Cléons",,"Orobranche hedere",,"Orobranche hederæ Duby"
"Diard",99,"Orobanchaceae",3,1004,"Orobranche","amethystea","07/06/1868","Thuill.","1004_DIARD",,3,"plante entière sans infrutescence","complet","B",44,"Loire-Atlantique","Machecoul","Les Chaumes","Les Chaumes à Machecoul",,,,"Orobranche amethystea Thuill."
"Diard",99,"Orobanchaceae",3,1006,"Orobranche","minor","s.d.","Sutton","1006_DIARD",,3,"plante entière sans infrutescence","incomplet","B",44,"Loire-Atlantique","Mauves-sur-Loire",,"Rochers de Mauves",,,,"Orobranche minor Sutton"
"Diard",100,"Lentibulariaceae",1,1008,"Pinguicula","lusitanica","02/06/1869","L.","1008_DIARD",,4,"plante entière + tige + infrutescence","complet","M",44,"Loire-Atlantique","Missillac","La Matinaie","La Matinaie",,,,"Pinguicula lusitanica L."
"Figureau",100,"Lentibulariaceae",1,1008,"Pinguicula","lusitanica",05/06/1975,"L.","1008_FIGUREAU",,5,"plante entière sans infrutescence","complet","B",49,"Maine-et-Loire","Chaumont d'Anjou","Etang de Malagué","Etang de Malagué en Chaumont d'Anjou (49)","Terre sableuse (grès) humide",,,"Pinguicula lusitanica L."
"Diard",100,"Lentibulariaceae",2,1010,"Utricularia","neglecta","08/07/1866","Lehm.","1010_(2)_DIARD",,2,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","Sucé-sur-Erdre","La Noue","Marais de Naye",,,,"Utricularia neglecta Lehm."
"Diard",100,"Lentibulariaceae",2,1010,"Utricularia","neglecta","06/08/1865","Lehm.","1010_(1)_DIARD_1a ; 1010_(1)_DIARD_1b",,8,"plante entière ","complet","M",44,"Loire-Atlantique","La Chapelle-sur-Erdre",,"Marais de la Verrière",,,,"Utricularia neglecta Lehm."
"Diard",100,"Lentibulariaceae",2,1010,"Utricularia","neglecta","05/08/1869","Lehm.","1010_(3)_DIARD",,4,"plante entière sans infrutescence","incomplet","M",44,"Loire-Atlantique","Sucé-sur-Erdre","Logné","Marais de Loigné",,,,"Utricularia neglecta Lehm."
"Diard",100,"Lentibulariaceae",2,1011,"Utricularia","intermedia","05/08/1869","Hayne","1011_DIARD",,6,"plante entière sans infrutescence","incomplet","M",44,"Loire-Atlantique","Sucé-sur-Erdre","Logné","Marais de Loigné",,,,"Utricularia intermedia Hayne"
"Diard",100,"Lentibulariaceae",2,1012,"Utricularia","minor","05/08/1869","L.","1012_DIARD",,1,"plante entière sans infrutescence","incomplet","M",44,"Loire-Atlantique","Sucé-sur-Erdre","Logné","Marais de Loigné",,,,"Utricularia minor L."
"Diard",102,"Lamiaceae",1,1014,"Mentha","pulegium","23/07/1865","L.","1014_DIARD",,2,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","Ancenis",,"Ancenis",,,,"Mentha pulegium L."
"?Diard",102,"Lamiaceae",1,1014,"Mentha","pulegium",16/10/1941,"L.","1014_XX",,4,"tige + feuilles + inflorescence","incomplet","M",44,"Loire-Atlantique","Nantes","Le Moulin des Marais","Le Moulin des Marais",,,,"Mentha pulegium L."
"Diard",102,"Lamiaceae",1,1015,"Mentha","arvensis","16/07/1865","L.","1015_DIARD",,3,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","Bouguenais",,"Bouguenais",,,,"Mentha arvensis L."
"Diard",102,"Lamiaceae",1,1016,"Mentha","aquatica","06/08/1865","L.","1016_DIARD_1a ; 1016_DIARD_1b ; 1016_DIARD_2",,3,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","La Chapelle-sur-Erdre",,"Marais de la Verrière",,,,"Mentha aquatica L."
"Diard",102,"Lamiaceae",1,1017,"Mentha","rotundifolia","13/08/1865","L.","1017_DIARD",,5,"tige + feuilles + inflorescence","complet","M",44,"Loire-Atlantique","Le Pouliguen",,"Le Pouliguen",,,,"Mentha rotundifolia L."
"Diard",102,"Lamiaceae",1,1018,"Mentha","longifolia","30/06/1872","(L.) Huds.","1018_DIARD",,1,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","Ancenis",,"Ancenis",,"Mentha sylvestris L.",,"Mentha longifolia (L.) Huds."
"?Diard",102,"Lamiaceae",1,"1016 bis","Mentha","aquatica","02/10/1841","L. ","1016_bis_XX","var. lloydii Gren.",1,"tige + feuilles + inflorescence","complet","M",44,"Loire-Atlantique","Ste-Luce-sur-Loire",,"Ste Luce (route de Ste Luce à la gare)",,"Mentha pyramidalis Cosson, syn. Mentha Lloydii Boreau",,"Mentha aquatica L. var. Lloydii Gren."
"Diard",102,"Lamiaceae",1,"1016 bis","Mentha","aquatica","07/09/1872","L. ","1016_bis_(1)_DIARD","var. lloydii Gren.",3,"tige + feuilles + inflorescence","incomplet","M",44,"Loire-Atlantique","La Chapelle-sur-Erdre",,"La Verrière",,"Mentha Lloydi Boreau",,"Mentha aquatica L. var. Lloydii Gren."
"Diard",102,"Lamiaceae",1,"1016 bis","Mentha","aquatica","09/1873","L. ","1016_bis_(2)_DIARD","var. lloydii Gren.",2,"plante entière sans racine","complet","M",44,"Loire-Atlantique","La Chapelle-sur-Erdre",,"Marais de la Verrière",,"Mentha pyramidalis Delastre",,"Mentha aquatica L. var. Lloydii Gren."
"?Diard",102,"Lamiaceae",1,,"Mentha","x citrata","s.d.","Ehrh.","XX_0056_XX",,1,"tige + feuilles + inflorescence","complet","B",85,"Vendée","Pouzauges",,"Pouzauges (Vendée)",,"Mentha citrata Ehrh. (Gadeceau) / Hyb. M. aquatica x M. viridis / Menthe à odeur de citron / Envoi d'un habitant de Pouzauges (Vendée) à Mr Durivault","non trouvée dans la flore / cartel similaire à celui de la part 0989 datant du 16.10.1941","Mentha citrata Ehrh."
"Diard",102,"Lamiaceae",1,,"Mentha","x dumetorum","08/1871","Schultes","XX_0057_DIARD",,1,"tige + feuilles + inflorescence","complet","B",,,,,,,"Mr Lloyd","non trouvée dans la flore","Mentha pubescens Willd."
"Diard",102,"Lamiaceae",2,1020,"Lycopus","europæus","09/07/1865","L.","1020_DIARD",,1,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,,"Lycopus europæus L."
"Diard",102,"Lamiaceae",3,1021,"Origanum","vulgare","09/07/1868","L.","1021_DIARD",,6,"tige + feuilles + inflorescence","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,,"Origanum vulgare L."
"Diard",102,"Lamiaceae",3,,"Origanum","prismaticum","06/09/1872","Gaud.","XX_0058_DIARD",,4,"tige + feuilles + inflorescence","complet","TB",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,"couleurs très bien préservées. Non trouvée dans la flore","Origanum prismaticum Gaud."
"Diard",102,"Lamiaceae",5,1023,"Thymus","serpyllum","09/07/1865","L.","1023_DIARD",,4,"plante entière","complet","B",44,"Loire-Atlantique","St-Herblain","La Bouvardière","La Bouvardière",,,,"Thymus serpyllum L."
"Diard",102,"Lamiaceae",5,1025,"Thymus","pulegioides","09/07/1871","L.","1025_DIARD",,2,"plante entière","complet","B",44,"Loire-Atlantique","Oudon",,"Oudon",,"Thymus chamedrys Fries",,"Thymus pulegioides L."
